rho,beta,tan_alpha,n,mdot,prod_dimless,xr_calc,hold_real
1480.0,36.0,0.0094,0.059,5.15e-03,18.3,0.111,8.10
1480.0,36.0,0.0094,0.090,2.68e-03,6.25,0.054,5.00
1480.0,36.0,0.0094,0.195,1.32e-02,14.2,0.088,7.75
1480.0,36.0,0.0094,0.232,7.24e-03,6.55,0.043,3.85
1480.0,36.0,0.0100,0.040,6.38e-03,29.7,0.169,13.3
1480.0,36.0,0.0100,0.040,5.00e-03,23.2,0.144,11.2
1480.0,36.0,0.0100,0.069,9.20e-03,24.8,0.150,10.6
1480.0,36.0,0.0100,0.069,6.53e-03,17.6,0.113,8.50
1480.0,36.0,0.0100,0.106,1.50e-02,27.8,0.162,12.2
1480.0,36.0,0.0100,0.159,1.20e-02,14.0,0.092,7.49
1480.0,36.0,0.0100,0.238,1.55e-02,12.1,0.083,7.48
1480.0,36.0,0.0100,0.238,1.19e-02,9.22,0.068,6.13
